VendorNumber,InvoiceDate,PODate,PayDate,Freight,Approval,IDInvoicePurchases,IDPurchases
105,2016-01-04,2015-12-21,2016-02-16,3.47,,1,1
4466,2016-01-07,2015-12-22,2016-02-21,8.57,,2,2
388,2016-01-09,2015-12-24,2016-02-16,4.61,,3,3
480,2016-01-12,2015-12-20,2016-02-05,2935.2,,4,4
516,2016-01-07,2015-12-24,2016-02-12,429.2,,5,5
2396,2016-01-08,2015-12-25,2016-02-06,2.3,,6,6
1128,2016-01-09,2015-12-23,2016-02-19,1808.77,,7,7
1189,2016-01-09,2015-12-24,2016-02-04,5.29,,8,8
1273,2016-01-06,2015-12-24,2016-02-15,15.53,,9,9
11567,2016-01-06,2015-12-23,2016-02-20,398.71,,10,10
90046,2016-01-05,2015-12-20,2016-02-10,9.08,,11,11
1485,2016-01-08,2015-12-23,2016-02-19,179.26,,12,12
2876,2016-01-08,2015-12-21,2016-02-07,0.5,,13,13
4380,2016-01-06,2015-12-23,2016-02-12,41.05,,14,14
1392,2016-01-11,2015-12-20,2016-02-10,1549.81,,15,15
90047,2016-01-07,2015-12-21,2016-02-21,16.7,,16,16
2242,2016-01-06,2015-12-22,2016-02-10,127.05,,17,17
1590,2016-01-12,2015-12-20,2016-02-11,408.72,,18,18
3960,2016-01-10,2015-12-24,2016-02-19,5972.45,,19,19
2555,2016-01-11,2015-12-25,2016-02-17,146.86,,20,20
2450,2016-01-11,2015-12-22,2016-02-11,10.05,,21,21
2496,2016-01-06,2015-12-24,2016-02-10,11.39,,22,22
3252,2016-01-09,2015-12-20,2016-02-19,1300.92,,23,23
2561,2016-01-08,2015-12-24,2016-02-10,218.18,,24,24
1655,2016-01-04,2015-12-25,2016-02-05,16.0,,25,25
17031,2016-01-06,2015-12-23,2016-02-06,62.5,,26,26
90011,2016-01-11,2015-12-22,2016-02-14,4.88,,27,27
9744,2016-01-06,2015-12-24,2016-02-12,212.93,,28,28
3924,2016-01-08,2015-12-23,2016-02-15,200.02,,29,29
3950,2016-01-08,2015-12-25,2016-02-07,3.44,,30,30
90053,2016-01-12,2015-12-24,2016-02-12,5.65,,31,31
17032,2016-01-10,2015-12-20,2016-02-04,9.5,,32,32
12546,2016-01-06,2015-12-22,2016-02-19,3506.08,,33,33
4550,2016-01-07,2015-12-25,2016-02-17,9.65,,34,34
4692,2016-01-11,2015-12-20,2016-02-06,185.93,,35,35
90032,2016-01-06,2015-12-23,2016-02-11,41.13,,36,36
4848,2016-01-07,2015-12-22,2016-02-06,13.91,,37,37
4950,2016-01-07,2015-12-24,2016-02-06,19.68,,38,38
8352,2016-01-08,2015-12-20,2016-02-07,196.61,,39,39
9552,2016-01-10,2015-12-23,2016-02-09,1591.5,,40,40
10000,2016-01-09,2015-12-21,2016-02-17,218.05,,41,41
